epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,822.808,0.58221,0.50548,0.22943,0.76738,0.49939,0.59565,0.33815,0.57563,0.74342,0.33148,0.03,0.01,0.03,0.01,0.03,0.01,0.03,0.01
2,1642.28,0.57179,0.52919,0.23302,0.75324,0.56733,0.63328,0.38125,0.49132,0.62264,0.32328,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835
3,2461.24,0.57349,0.52625,0.2322,0.73507,0.58006,0.60854,0.32228,0.60798,0.55008,0.34367,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
4,3282.6,0.57469,0.51718,0.22474,0.75238,0.63626,0.67321,0.40364,0.47523,0.60465,0.32558,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
5,4107.42,0.55531,0.52105,0.22883,0.78175,0.6224,0.67311,0.38476,0.52511,0.54862,0.32806,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
6,4939.3,0.54421,0.52287,0.22537,0.74964,0.62657,0.67978,0.40721,0.49774,0.55781,0.31361,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175
7,5773.64,0.54054,0.52161,0.22296,0.73296,0.62747,0.66428,0.38863,0.5031,0.5825,0.30943,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
8,6608.41,0.52974,0.51735,0.21733,0.7954,0.65156,0.70644,0.44163,0.4469,0.56749,0.31204,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845
9,7439.06,0.52395,0.51283,0.2126,0.77534,0.65829,0.70855,0.43978,0.44946,0.55044,0.30393,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
10,8273.02,0.51567,0.50416,0.20986,0.80349,0.6304,0.69723,0.43928,0.45022,0.55885,0.316,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
11,9107.16,0.52698,0.49952,0.21045,0.75413,0.66304,0.70671,0.44187,0.44921,0.56587,0.31495,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
12,9941.37,0.51319,0.50133,0.20721,0.77529,0.65945,0.70935,0.44477,0.43723,0.57632,0.31559,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185
13,10779.7,0.51314,0.4955,0.20584,0.77082,0.6655,0.70406,0.43892,0.45594,0.54923,0.31104,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
14,11619.2,0.50749,0.49614,0.20671,0.78074,0.66432,0.70416,0.43409,0.46128,0.55483,0.3133,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855
15,12457.9,0.50309,0.49187,0.19599,0.80104,0.65503,0.70797,0.44182,0.44615,0.57705,0.30332,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
