Frame,FPS,Time_ms,Objects_In_Frame,Total_Unique_Objects
6,8.77,114.0,9,9
9,9.8,102.04,9,9
12,9.8,102.0,8,9
15,9.71,103.04,9,9
18,9.62,104.0,9,9
21,9.71,103.0,8,9
24,9.62,104.0,8,9
27,9.61,104.03,10,10
30,9.62,103.99,9,10
33,9.62,103.98,10,10
36,8.77,114.03,11,11
39,9.71,103.0,9,11
42,9.71,103.03,9,11
45,9.71,102.99,9,11
48,9.71,103.0,10,11
51,9.71,103.03,10,11
54,9.71,103.03,10,11
57,9.52,105.0,9,11
60,9.8,102.02,10,11
63,9.71,102.99,10,11
66,9.8,102.0,9,11
69,9.52,105.0,10,11
72,9.52,104.99,10,11
75,9.8,102.03,9,11
78,9.71,103.02,9,11
81,9.8,102.03,9,11
84,9.71,102.97,9,11
87,9.52,105.02,9,11
90,8.06,124.0,9,11
93,8.13,123.0,9,11
96,7.94,126.0,9,11
99,8.0,125.0,9,11
102,7.94,126.0,9,11
105,8.0,125.0,9,11
108,7.87,127.0,8,11
111,7.3,137.0,9,11
114,6.76,148.0,10,11
117,7.19,139.0,9,11
120,6.8,147.0,10,11
123,7.14,140.0,10,11
126,7.2,138.97,10,11
129,7.35,136.0,9,11
132,7.19,139.0,10,11
135,7.25,138.0,9,11
138,7.25,137.96,9,11
141,7.19,139.0,9,11
144,7.19,139.0,9,11
147,7.09,141.0,9,11
150,7.04,142.03,8,11
153,7.04,142.0,8,11
156,7.14,140.03,9,11
159,7.09,141.01,9,11
162,7.19,139.0,8,11
165,7.19,139.03,9,11
168,7.3,136.98,8,11
171,7.19,139.03,7,11
174,7.04,141.98,9,11
177,6.9,145.03,7,11
180,7.14,139.98,7,11
183,6.85,146.0,9,11
186,7.14,140.0,7,11
189,6.8,147.01,8,11
192,6.62,151.0,8,11
195,7.04,142.0,9,12
198,6.99,143.03,10,13
201,7.09,141.0,10,13
204,7.04,142.0,10,13
207,7.19,139.0,9,13
210,7.09,140.99,9,13
213,7.04,141.99,9,13
216,6.99,143.0,8,14
219,7.09,141.01,11,16
222,6.9,145.0,11,17
225,6.76,147.97,11,17
228,6.67,150.0,11,17
231,6.94,144.03,12,18
234,7.09,140.96,10,18
237,6.99,143.03,10,18
240,6.94,144.03,10,18
243,6.94,144.03,11,20
246,6.94,144.03,12,20
249,6.95,143.97,11,20
252,6.71,148.97,13,21
255,6.71,149.03,12,23
258,6.49,153.99,10,23
261,6.9,144.97,10,25
264,6.9,145.0,10,25
267,6.9,145.0,10,25
270,6.99,143.01,10,26
273,6.85,146.0,12,26
276,6.85,146.0,9,26
279,6.76,148.0,12,26
282,7.09,141.0,9,26
285,6.8,147.0,13,27
288,6.85,145.99,14,27
291,6.99,143.0,12,27
294,7.09,141.0,12,27
297,6.9,145.03,13,27
300,6.54,153.0,14,27
303,6.8,146.97,12,27
306,7.04,142.03,12,27
309,6.9,145.03,13,27
312,6.94,144.03,13,27
315,6.94,144.03,13,27
318,6.94,144.0,12,27
321,6.99,143.0,13,27
324,6.94,144.0,13,27
327,6.99,143.02,12,27
330,6.8,147.03,13,27
333,6.17,162.0,12,28
336,6.99,143.02,12,28
339,6.99,143.0,13,28
342,7.04,142.0,11,28
345,7.09,140.97,11,28
348,7.04,142.04,12,28
351,6.99,143.04,11,28
354,6.99,143.03,11,28
357,7.2,138.96,11,28
360,6.85,146.02,11,28
363,6.85,146.0,11,28
366,6.76,148.0,11,28
369,6.95,143.97,12,28
372,7.04,142.0,11,28
375,7.04,142.0,10,28
378,7.14,140.03,10,28
381,7.19,139.0,9,28
384,7.09,141.0,11,28
387,7.14,140.03,10,28
390,7.14,140.02,11,28
393,7.14,140.03,11,28
396,7.04,142.0,12,29
399,6.76,148.03,12,29
402,6.76,148.03,12,29
405,6.94,144.03,14,29
408,7.19,139.02,11,29
411,6.99,143.03,12,29
414,7.09,141.03,13,29
417,7.04,141.97,13,29
420,7.25,138.03,12,29
